Temperature,x1,x2,y1,y2
°C,mol fract.,mol fract.
56.8835,0.2,0.4,0.117981,0.247723
56.8906,0.25,0.4,0.124268,0.240308
56.9033,0.3,0.4,0.128714,0.234505
56.9235,0.35,0.4,0.132051,0.229862
56.9458,0.4,0.4,0.134658,0.225998
56.9706,0.45,0.4,0.136779,0.222709
56.9956,0.5,0.4,0.13855,0.21983
57.0209,0.55,0.4,0.140069,0.217264
80.5484,0.6,0.4,0.381386,0.618614
58.3351,0,0.45,0,0.350318
57.457,0.05,0.45,0.060725,0.302906
57.111,0.1,0.45,0.0879896,0.278892
56.9666,0.15,0.45,0.103695,0.26352
56.9105,0.2,0.45,0.113683,0.252886
56.8936,0.25,0.45,0.120494,0.245025
56.8921,0.3,0.45,0.12538,0.238885
56.9043,0.35,0.45,0.12907,0.234008
56.9215,0.4,0.45,0.131954,0.229976
56.9453,0.45,0.45,0.134305,0.2266
56.9626,0.5,0.45,0.136216,0.223578
80.1259,0.55,0.45,0.362366,0.637634
58.3714,0,0.5,0,0.352837
57.5071,0.05,0.5,0.0565662,0.306051
57.1692,0.1,0.5,0.0829272,0.283582
56.9895,0.15,0.5,0.099001,0.26799
56.9163,0.2,0.5,0.109507,0.257182
56.9009,0.25,0.5,0.116862,0.249307
56.8887,0.3,0.5,0.122161,0.242918
56.8935,0.35,0.5,0.126187,0.237834
56.9046,0.4,0.5,0.129337,0.233624
56.9207,0.45,0.5,0.131882,0.230072
79.7407,0.5,0.5,0.342393,0.657607
58.4323,0,0.55,0,0.355954
57.6336,0.05,0.55,0.0505015,0.312395
57.227,0.1,0.55,0.0783699,0.287752
57.0451,0.15,0.55,0.0947135,0.27254
56.951,0.2,0.55,0.105647,0.26148
56.913,0.25,0.55,0.113384,0.253245
56.89,0.3,0.55,0.119049,0.246637
56.888,0.35,0.55,0.123387,0.241378
58.2412,0.4,0.55,0.133647,0.255675
79.3891,0.45,0.55,0.321019,0.678981
58.5361,0,0.6,0,0.360215
57.8117,0.05,0.6,0.0453555,0.320013
57.2779,0.1,0.6,0.0742158,0.291455
57.0855,0.15,0.6,0.0907282,0.276364
56.9766,0.2,0.6,0.101979,0.265218
56.9228,0.25,0.6,0.110041,0.256794
56.9027,0.3,0.6,0.11607,0.250209
60.8438,0.35,0.6,0.139523,0.306141
79.0711,0.4,0.6,0.29787,0.70213
58.714,0,0.65,0,0.366406
58.0973,0.05,0.65,0.0410686,0.330098
57.6001,0.1,0.65,0.0687406,0.302382
57.259,0.15,0.65,0.0866579,0.283001
57.2883,0.2,0.65,0.0985995,0.274333
58.3919,0.25,0.65,0.110476,0.28579
62.8697,0.3,0.65,0.138689,0.356034
78.789,0.35,0.65,0.272592,0.727408
59.0184,0,0.7,0,0.375747
58.5833,0.05,0.7,0.0376452,0.344593
58.3863,0.1,0.7,0.0639234,0.323593
58.6396,0.15,0.7,0.0829231,0.315277
59.999,0.2,0.7,0.100485,0.329643
64.4728,0.25,0.7,0.131323,0.405478
78.5464,0.3,0.7,0.244829,0.755171
59.5367,0,0.75,0,0.390265
59.4293,0.05,0.75,0.0351846,0.36697
59.8363,0.1,0.75,0.0614729,0.358413
61.3638,0.15,0.75,0.0846297,0.374953
65.7692,0.2,0.75,0.117637,0.454909
78.348,0.25,0.75,0.214196,0.785804
60.4195,0,0.8,0,0.413593
60.9222,0.05,0.8,0.0339664,0.404105
62.55,0.1,0.8,0.0627754,0.422059
66.8467,0.15,0.8,0.0977617,0.504937
78.1992,0.2,0.8,0.180262,0.819738
61.9346,0,0.85,0,0.452856
63.6095,0.05,0.85,0.0346894,0.471447
67.7721,0.1,0.85,0.0716851,0.556284
78.1061,0.15,0.85,0.142526,0.857474
64.5853,0,0.9,0,0.523739
68.5979,0.05,0.9,0.0392239,0.609758
78.0757,0.1,0.9,0.1004,0.8996
69.366,0,0.95,0,0.666266
78.1157,0.05,0.95,0.0531771,0.946823
78.2118,0,1,0,1
